"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript React", "SCSS", "HTML", "comment", "blank", "total"
"c:\products\phimke-remake\src\components\ListFilm\ListFilmLoading.tsx", "TypeScript React", 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\products\phimke-remake\src\components\ListFilm\index.tsx", "TypeScript React", 0, 0, 0, 23, 0, 0, 0, 6, 29
"c:\products\phimke-remake\src\components\Loading\Loading.module.scss", "SCSS", 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\products\phimke-remake\src\components\Loading\Loading.tsx", "TypeScript React", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\products\phimke-remake\src\components\NotFound\NotFound.module.scss", "SCSS", 0, 0, 0, 0, 11, 0, 0, 2, 13
"c:\products\phimke-remake\src\components\NotFound\index.tsx", "TypeScript React", 0, 0, 0, 10, 0, 0, 0, 3, 13
"c:\products\phimke-remake\src\components\Score\Score.module.scss", "SCSS", 0, 0, 0, 0, 20, 0, 0, 2, 22
"c:\products\phimke-remake\src\components\Score\index.tsx", "TypeScript React", 0, 0, 0, 54, 0, 0, 0, 4, 58
"c:\products\phimke-remake\src\components\ScrollToTop\index.tsx", "TypeScript React", 0, 0, 0, 9, 0, 0, 0, 4, 13
"c:\products\phimke-remake\src\components\SideBar\Sidebar.module.scss", "SCSS", 0, 0, 0, 0, 72, 0, 0, 7, 79
"c:\products\phimke-remake\src\components\SideBar\index.tsx", "TypeScript React", 0, 0, 0, 69, 0, 0, 0, 8, 77
"c:\products\phimke-remake\src\components\TableFilm\TableFilm.module.scss", "SCSS", 0, 0, 0, 0, 88, 0, 0, 14, 102
"c:\products\phimke-remake\src\components\TableFilm\TableFilmLoading.tsx", "TypeScript React", 0, 0, 0, 32, 0, 0, 0, 3, 35
"c:\products\phimke-remake\src\components\TableFilm\index.tsx", "TypeScript React", 0, 0, 0, 49, 0, 0, 0, 4, 53
"c:\products\phimke-remake\src\config\dramaType.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\products\phimke-remake\src\config\navigate.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\products\phimke-remake\src\features\auth\Auth.module.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 5, 29
"c:\products\phimke-remake\src\features\auth\authSlice.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 6, 43
"c:\products\phimke-remake\src\features\auth\components\Popover.module.scss", "SCSS", 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\products\phimke-remake\src\features\auth\components\Popover.tsx", "TypeScript React", 0, 0, 0, 27, 0, 0, 0, 6, 33
